Year,Country,Brand,Model,Battery_kWh,Range_km,Motor_Power_kW,Weight_kg,Price_USD,Charging_Stations,Sales,Govt_Incentive_USD
2016,China,Tata,Nexon EV,69.9,332,135,1789,33741,50789,1520,1200
2018,USA,Hyundai,Kona Electric,50.6,353,117,1509,36758,36337,1478,900
2022,India,Tata,Nexon EV,39.7,381,88,1387,26752,3473,1832,600
2019,Germany,Tesla,Model S,49.1,268,101,1367,65866,33699,1018,810
2024,Germany,Audi,e-tron,59.7,490,87,1793,54986,48335,3072,360
2019,Netherlands,BYD,Atto 3,74.8,451,154,1651,53988,9289,1331,810
2016,UK,Mahindra,XUV EV,66.9,430,80,1715,33525,15515,1370,1080
2021,China,BYD,Atto 3,43.2,213,77,1645,43041,79446,1551,700
2021,USA,Chevrolet,Bolt EV,76.3,412,193,1664,45413,48180,3084,630
2017,Norway,Nissan,Ariya,59.3,323,165,1103,40942,9005,179,990
2016,Netherlands,MG,MG5,55.6,360,121,1912,34477,7457,883,1080
2022,USA,Audi,e-tron,49.4,240,114,1617,55950,51403,780,540
2021,Japan,Audi,Q4 e-tron,65.9,388,139,1648,63056,35028,807,630
2017,India,Hyundai,Ioniq 6,56.8,351,125,1997,42171,1280,701,1100
2020,USA,Tata,Nexon EV,61.2,360,196,1595,31459,44971,2991,720
2022,China,Hyundai,Kona Electric,75.8,660,124,1957,51870,85504,5071,600
2021,UK,BMW,iX,62,350,108,1325,65390,23540,1170,630
2019,China,MG,MG5,44.3,366,78,1745,33971,67196,2934,900
2018,Australia,BYD,e6,65.2,557,153,1398,53035,5085,1138,900
2018,Netherlands,BYD,e6,46.4,390,99,1647,46032,8084,1158,900
2024,Germany,Renault,Twizy,40.5,328,104,1803,34047,49411,4314,360
2016,Germany,Tata,Tigor EV,55.1,404,87,1437,30766,25138,1493,1080
2022,China,Tesla,Model X,60.3,268,164,1577,71449,85464,791,600
2021,Germany,Nissan,Leaf,55.5,326,132,1711,37134,39776,2609,630
2022,Netherlands,Tata,Tigor EV,64.3,348,91,1677,32492,12069,1794,540
2018,Germany,Chevrolet,Volt,67.2,309,151,1868,41673,31257,1357,900
2022,Japan,BYD,Atto 3,70.3,390,256,1775,57764,37682,1811,540
2019,UK,Renault,Twizy,44.5,343,81,1486,30800,20743,1257,810
2017,India,Audi,Q4 e-tron,50.6,374,133,1614,59668,1874,475,1100
2018,France,Nissan,Leaf,60.9,279,102,2061,41114,14549,1131,900
2022,France,Mahindra,eVerito,44.1,201,84,1683,27468,20402,1352,540
2024,China,Mahindra,XUV EV,95.3,571,202,1483,41786,97240,7886,400
2017,Australia,Audi,e-tron,85.3,437,149,1794,72158,2859,0,990
2017,China,Kia,EV6,54.9,455,72,1941,41012,56720,1541,1100
2023,India,Renault,Zoe,83.3,485,166,1503,44293,3714,2016,500
2024,UK,BYD,Atto 3,62.3,571,144,1954,46932,29324,3920,360
2020,Australia,Audi,e-tron,65.6,434,112,1605,65635,6098,375,720
2018,Norway,Mahindra,eVerito,78,411,165,1846,35405,10293,1564,900
2021,Netherlands,Chevrolet,Bolt EV,59.6,435,122,1884,40424,11091,2301,630
2021,China,Tesla,Model S,76.5,496,177,1940,81391,80162,0,700
2019,Japan,Hyundai,Kona Electric,61.9,247,141,1472,41763,30499,1346,810
2023,USA,Nissan,Leaf,72.5,547,163,1665,43790,55687,4753,450
2018,Netherlands,Audi,e-tron,43.5,279,77,1663,54104,8802,378,900
2020,Australia,Audi,e-tron,50.6,408,108,1312,56582,6075,1335,720
2019,Australia,Mahindra,XUV EV,77.2,593,149,1677,35393,5601,1896,810
2020,France,BYD,e6,70.4,429,186,1639,53941,17872,1268,720
2023,Australia,Tata,Tigor EV,62,397,100,1640,33262,8436,2254,450
2019,Germany,BMW,i3,77.4,544,160,2120,70309,32938,479,810
2016,Japan,Nissan,Ariya,44.8,235,94,1652,35249,21550,774,1080
2019,India,Audi,e-tron,33.6,178,122,1786,54307,2662,722,900
2019,USA,Nissan,Leaf,28.1,160,50,1535,32108,40266,965,810
2017,Australia,Tesla,Model X,62.4,448,140,1779,78520,4646,0,990
2023,Germany,Hyundai,Ioniq 5,91,623,185,1958,56535,45875,3503,450
2023,Germany,Audi,e-tron,72.9,435,186,1475,63547,45408,953,450
2019,USA,BMW,i4,54.6,385,130,1914,57707,39948,1109,810
2021,France,Nissan,Ariya,67.7,391,134,1239,44396,19383,1529,630
2016,USA,Renault,Twizy,49.7,233,67,1586,35919,29734,444,1080
2021,USA,Tesla,Model Y,57.9,525,84,1512,70592,47650,968,630
2019,Australia,Hyundai,Kona Electric,57.8,300,108,1746,41180,5302,248,810
2022,UK,BMW,i3,29.7,212,100,1868,51145,27339,1321,540
2019,USA,Kia,EV6,57.4,322,86,1300,39040,40476,1415,810
2017,India,BMW,iX,93.7,460,213,1729,77906,3001,214,1100
2017,Germany,Tata,Nexon EV,39.3,359,72,1392,29434,27300,1630,990
2023,Netherlands,Chevrolet,Volt,47,351,79,1472,35116,13015,2259,450
2016,UK,Hyundai,Ioniq 5,55.2,317,83,1500,39201,15049,926,1080
2022,China,Renault,Zoe,26.6,127,69,1397,26137,85186,1940,600
2022,Australia,BMW,i4,65.2,589,103,1773,61877,6554,1271,540
2018,Germany,Tata,Tigor EV,42.8,325,74,1779,25942,31264,2217,900
2016,Japan,Kia,Niro EV,15,108,50,1610,27827,22043,291,1080
2021,India,BYD,e6,83.4,550,174,1767,57898,3397,1090,700
2024,Australia,Tesla,Model Y,65.8,474,193,1821,76454,6820,0,360
2024,USA,Chevrolet,Bolt EV,22.6,117,50,1521,29107,59214,962,360
2017,Germany,Chevrolet,Bolt EV,64.7,343,152,1348,41957,28316,1745,990
2019,Japan,Renault,Zoe,63.6,497,134,1548,38290,29955,2273,810
2017,France,Mahindra,eVerito,69.6,472,149,1866,32831,13217,1579,990
2020,Germany,Tata,Tigor EV,75.1,386,122,1849,37606,36613,1988,720
2019,China,Tata,Tigor EV,24.4,162,93,1654,22350,69222,1662,900
2020,Netherlands,Renault,Zoe,62.2,349,146,1732,40394,11301,1815,720
2016,Netherlands,MG,ZS EV,91.9,589,168,1527,46494,6153,1382,1080
2017,Australia,Mahindra,eVerito,56.8,539,100,1417,30930,3835,1094,990
2020,UK,Hyundai,Ioniq 6,53.3,456,156,1557,41386,20851,2062,720
2019,Norway,MG,ZS EV,55.4,277,131,1985,33621,12166,1182,810
2023,Australia,Kia,Niro EV,60.3,370,119,1670,42157,7343,1676,450
2024,India,BYD,Atto 3,45.7,143,94,1536,47050,4543,20,400
2017,UK,Tata,Tigor EV,53.1,355,95,1327,32434,17267,1564,990
2017,Australia,Kia,Niro EV,74.4,389,114,1568,48474,4359,581,990
2020,Japan,Chevrolet,Volt,74.2,348,161,1600,46540,32856,1515,720
2021,Germany,Hyundai,Ioniq 6,66.5,414,95,1834,46500,39647,1908,630
2024,Netherlands,Tata,Tigor EV,28.9,80,75,1280,26994,13825,647,360
2017,France,Kia,Niro EV,49.1,257,110,1589,40119,13258,658,990
2016,Norway,Kia,Niro EV,66.2,368,81,1378,43806,8009,748,1080
2018,Netherlands,Chevrolet,Volt,49.2,388,75,1636,34069,9194,1460,900
2024,India,Audi,Q4 e-tron,65.1,286,159,1978,60953,3607,737,400
2018,Australia,Nissan,Leaf,70.4,494,119,1698,41118,4498,902,900
2024,UK,Tesla,Model X,40.5,184,112,1381,63615,28970,805,360
2016,China,Renault,Zoe,48.5,343,100,2107,34122,49982,1842,1200
2021,Germany,MG,ZS EV,47.5,350,149,1734,35340,40310,2175,630
2017,Norway,Tata,Nexon EV,45.5,260,83,1571,26347,9150,1042,990
2018,Germany,Audi,Q4 e-tron,71.2,407,174,1830,62799,31214,773,900
2022,India,Chevrolet,Bolt EV,65.4,340,92,1429,43040,3454,1408,600
2022,Germany,Chevrolet,Volt,78.8,526,142,1705,45775,43111,3348,540
2017,France,Kia,Niro EV,85.1,623,143,1667,51093,13955,754,990
2019,Germany,Tesla,Model Y,65.3,324,157,1662,80877,35149,0,810
2020,Germany,BMW,i4,51.1,341,145,1919,59733,36327,718,720
2019,France,Hyundai,Kona Electric,39.9,285,56,1562,34288,16812,1205,810
2017,China,MG,MG5,59,349,138,1402,37155,56144,2389,1100
2024,Norway,MG,MG5,47.2,310,78,1466,34478,16390,2170,360
2020,UK,Tesla,Model S,43.4,248,100,1469,59181,22973,1166,720
2016,USA,Mahindra,XUV EV,47.7,300,83,1650,31493,29911,729,1080
2021,Norway,Mahindra,XUV EV,32.4,135,50,1540,25317,12791,1225,630
2022,Japan,Renault,Zoe,110.5,598,205,1683,56051,38131,2521,540
2016,France,Hyundai,Ioniq 5,71.8,441,176,1829,49778,12691,890,1080
2021,France,Tesla,Model 3,56.7,429,117,1861,69701,19214,956,630
2021,USA,Nissan,Ariya,63.8,369,128,1369,45923,47846,2372,630
2024,China,BYD,Atto 3,65,404,177,1625,53254,97776,4050,400
2021,France,Tata,Tigor EV,81.5,622,132,1721,34330,18920,3784,630
2024,UK,BYD,Atto 3,91.3,378,180,1612,56751,29620,1598,360
2022,UK,Hyundai,Ioniq 5,39.6,238,100,1617,38593,26125,1533,540
2022,Australia,Mahindra,XUV EV,96.9,694,161,1435,40443,6759,3351,540
2020,Germany,Tesla,Model X,35,191,113,1538,61877,37284,637,720
2023,Netherlands,Renault,Twizy,72.9,399,185,1708,45432,12541,2517,450
2019,Australia,BMW,iX,59.2,449,75,1653,60136,5216,151,810
2018,USA,BMW,iX,51,302,50,1286,59011,36716,672,900
2017,Germany,Kia,EV6,59.9,314,85,1930,42487,28104,345,990
2019,Germany,Tata,Tigor EV,55.1,417,89,1414,31214,33714,2655,810
2016,Germany,Chevrolet,Bolt EV,88,646,203,1725,50622,25447,1383,1080
2017,Netherlands,BMW,iX,81,550,145,1956,71150,8707,357,990
2022,Netherlands,Renault,Zoe,47,287,79,1526,33602,12027,2363,540
2018,India,Renault,Zoe,94.6,596,202,1741,47068,2351,783,1000
2019,UK,Nissan,Ariya,68,291,155,1557,41014,20512,1480,810
2016,Australia,BYD,Atto 3,93.7,584,173,1946,64171,4326,0,1080
2023,UK,Hyundai,Kona Electric,89.5,535,220,1593,53932,27324,2269,450
2024,Australia,BMW,iX,59.5,422,154,1737,56326,8414,937,360
2023,Japan,Mahindra,XUV EV,52.8,256,72,1349,30081,40456,2792,450
2024,Netherlands,BYD,Atto 3,61.5,376,84,1833,48701,14470,2151,360
2023,China,Chevrolet,Volt,53,249,95,1544,39294,92515,3381,500
2020,Australia,Hyundai,Ioniq 6,54.8,366,103,1600,41423,6286,1300,720
2019,China,BMW,iX,61.6,391,63,1818,54526,69044,1687,900
2020,Germany,BMW,i3,82.2,621,133,1819,78607,36904,190,720
2021,Australia,Kia,EV6,77.4,524,169,1712,48910,6500,2041,630
2018,Germany,Nissan,Leaf,82.1,702,199,1824,46185,31151,2181,900
2019,USA,Renault,Zoe,58.7,388,127,1690,39148,40677,2385,810
2021,Australia,Renault,Twizy,83.8,453,130,1820,47167,6324,1608,630
2016,Germany,BMW,i4,56.5,531,113,1400,59522,24504,29,1080
2016,Japan,Renault,Twizy,47.2,227,54,1920,38033,22490,478,1080
2016,Norway,Renault,Twizy,15,166,98,1217,30888,8692,567,1080
2022,Australia,Kia,EV6,71.9,429,169,1817,47333,6503,1565,540
2023,Germany,BYD,e6,26.1,211,50,1330,40275,46459,1381,450
2023,India,Kia,EV6,40.2,278,108,1374,35419,3732,1125,500
2022,UK,Renault,Twizy,48,276,105,1275,36214,25911,2320,540
2024,India,BMW,i3,62.5,355,112,1661,64499,3569,538,400
2017,France,Renault,Zoe,31.9,207,116,1296,32877,13292,1017,990
2018,India,Chevrolet,Volt,46.5,171,101,1422,37430,2796,604,1000
2021,Germany,Kia,EV6,56.3,390,108,1627,46047,39721,1816,630
2021,France,BMW,i4,58.2,328,193,1463,63297,19484,1202,630
2020,USA,Kia,EV6,52.4,384,98,1490,38220,44417,2293,720
2024,India,BMW,i3,64.7,289,82,1710,65517,4533,207,400
2017,India,MG,ZS EV,93.5,607,199,1589,45745,2509,861,1100
2019,India,Tesla,Model 3,63.4,455,84,1617,77075,3265,286,900
2019,UK,Mahindra,eVerito,38.2,302,66,1807,26996,20496,1552,810
2017,Japan,BMW,iX,62.7,308,120,1779,60966,23721,602,990
2020,Norway,Hyundai,Ioniq 5,37.9,161,50,1641,37094,11880,682,720
2018,China,Chevrolet,Bolt EV,78.4,442,148,1738,48117,61912,1744,1000
2020,Japan,Nissan,Leaf,70.7,475,114,1667,44495,32547,2565,720
2022,Germany,Tata,Tigor EV,87.8,695,192,1715,38198,42695,5554,540
2017,China,Nissan,Leaf,61.1,351,138,1619,37925,55530,1580,1100
2016,Norway,Tata,Nexon EV,35.8,175,89,1863,28351,8074,336,1080
2021,USA,Audi,Q4 e-tron,47.7,293,86,1515,55398,48218,1684,630
2016,France,Audi,Q4 e-tron,79,379,113,1176,68189,11414,0,1080
2022,Norway,BMW,i3,70.8,844,164,1547,70425,13020,1116,540
2018,France,Tata,Tigor EV,59.7,492,136,1653,31719,14866,1646,900
2024,Netherlands,Chevrolet,Volt,51.1,200,75,1568,34742,14455,1395,360
2020,Norway,BMW,i4,46.6,237,124,1468,56677,12918,397,720
2020,Netherlands,Hyundai,Kona Electric,74.8,362,158,1934,46638,10589,1016,720
2022,Norway,Hyundai,Ioniq 5,100.3,565,204,1677,54365,14360,1744,540
2021,UK,Tesla,Model Y,39.1,245,94,1804,59354,23289,1145,630
2021,China,BMW,i3,53.5,316,99,1876,66304,79678,1330,700
2020,Australia,MG,MG5,61.1,364,130,1938,38460,5737,1152,720
2017,Germany,Tesla,Model 3,39.1,301,50,1978,59482,28153,747,990
2023,Australia,BYD,Atto 3,77.2,450,136,1648,59504,7605,1438,450
2023,Netherlands,Hyundai,Ioniq 6,73.3,617,181,1706,46841,12615,3111,450
2017,China,BMW,i3,84.8,408,170,1766,82660,56282,0,1100
2019,China,Hyundai,Ioniq 5,75.1,412,161,1933,45886,67895,2161,900
2023,Australia,Tata,Tigor EV,48.4,245,114,1929,29882,7958,1447,450
2022,Australia,Audi,Q4 e-tron,57.3,315,115,1464,61194,6436,565,540
2023,China,MG,MG5,74.4,509,137,2018,41540,91290,5810,500
2019,USA,Kia,EV6,29.5,107,96,1428,34332,41571,1254,810
2021,USA,BYD,e6,101.2,592,238,1958,64919,47590,1632,630
2019,Germany,BYD,e6,56.6,302,99,1759,51606,33429,985,810
2020,Japan,BYD,Atto 3,45.7,337,50,1570,45068,32047,2166,720
2017,Germany,Audi,Q4 e-tron,84.4,632,186,1657,75893,28942,676,990
2021,UK,Kia,Niro EV,50.2,479,66,1628,39030,23766,2235,630
2024,UK,Kia,Niro EV,70.3,951,124,1426,49508,30230,5679,360
2016,Australia,Kia,Niro EV,48,306,110,1394,41851,3949,463,1080
2023,USA,Kia,Niro EV,42.4,275,59,1531,35428,55946,2894,450
2023,Netherlands,Tesla,Model X,59.6,341,96,1143,70779,12913,608,450
2018,India,BMW,i4,28.7,243,50,1694,44655,2713,555,1000
2017,USA,Kia,EV6,27.7,210,90,1386,35536,33092,826,990
2017,Japan,Renault,Twizy,68.6,435,157,1691,41558,24103,414,990
2018,UK,Tata,Nexon EV,68.7,548,164,1183,37103,18610,1797,900
2017,Germany,Mahindra,XUV EV,56.3,399,153,1489,30130,28061,2105,990
2019,Australia,Nissan,Ariya,66.5,614,125,1591,42564,5349,2813,810
2023,China,Renault,Twizy,66,342,109,1562,37487,92459,4546,500
2020,Japan,Mahindra,XUV EV,97.5,493,227,1653,42346,32802,2307,720
2017,Germany,Mahindra,eVerito,47.1,289,125,1524,29734,29031,875,990
2020,USA,Tata,Nexon EV,60.5,316,163,1615,33086,44306,2625,720
2018,Australia,Chevrolet,Bolt EV,83.7,498,245,1817,48873,5129,979,900
2016,France,Nissan,Leaf,63.4,365,166,1438,42393,10939,514,1080
2023,China,BMW,iX,85.9,618,171,1507,77396,91880,413,500
2020,China,Tesla,Model 3,52.2,383,76,1929,72356,74499,477,800
2017,Germany,BYD,Atto 3,68.1,365,135,1473,55555,27767,783,990
2022,USA,Kia,Niro EV,65.7,476,123,1764,42254,51663,4387,540
2018,China,Audi,e-tron,40,252,59,1672,52863,62317,1293,1000
2016,UK,Chevrolet,Bolt EV,68.2,310,129,1789,41481,15553,616,1080
2023,USA,Kia,EV6,16.5,114,58,1392,29916,55554,1250,450
2020,France,BMW,iX,70.3,365,132,1808,71262,17492,601,720
2023,USA,Kia,EV6,67.3,449,189,1607,45945,55599,3215,450
2022,Norway,Mahindra,eVerito,38.9,180,50,1756,26132,13795,1637,540
2016,USA,Mahindra,XUV EV,41.5,242,90,1769,28876,28648,1014,1080
2016,China,Hyundai,Ioniq 6,46.9,228,50,1692,39876,50806,1162,1200
2018,Netherlands,Mahindra,eVerito,92.8,821,207,1743,38705,9765,2480,900
2020,UK,Audi,Q4 e-tron,62.5,277,141,1646,63394,21828,154,720
2023,USA,Mahindra,XUV EV,47.8,301,94,1507,28737,54447,3921,450
2022,Norway,BMW,i4,61.6,457,79,1572,66837,12822,821,540
2018,Norway,MG,ZS EV,56.8,403,133,1663,34486,10458,1392,900
2020,France,Renault,Twizy,98,801,194,1602,46844,17893,3157,720
2023,USA,Audi,e-tron,28.4,221,83,1438,49914,55065,1333,450
2021,USA,MG,MG5,17,126,50,1458,25002,47887,1076,630
2024,Netherlands,Renault,Zoe,63.4,310,140,1422,39829,14074,2064,360
2019,Australia,Renault,Zoe,79.1,428,166,1564,44427,5423,1168,810
2023,India,MG,MG5,57.4,357,58,1512,33059,4312,1825,500
2024,UK,Hyundai,Ioniq 5,79.4,336,171,1558,51374,29900,1720,360
2023,USA,Kia,EV6,87.8,519,168,1771,53505,55596,2803,450
2018,China,Tesla,Model 3,86.1,411,122,1914,83917,61447,0,1000
2024,France,Audi,e-tron,53.8,249,130,1873,58484,22678,731,360
2017,Netherlands,Nissan,Leaf,79.3,556,207,1441,48141,7435,1186,990
2023,China,Nissan,Leaf,50.5,302,100,1710,37737,91955,4041,500
2022,Netherlands,Audi,Q4 e-tron,54.8,383,157,1726,59281,12626,1146,540
2023,Australia,BMW,i3,57.9,422,129,1309,63330,8226,1608,450
2019,Japan,Chevrolet,Volt,72.8,482,160,1308,43918,29835,1883,810
2017,China,Audi,e-tron,20.4,184,63,1296,41230,54734,692,1100
2024,China,Renault,Twizy,82,454,222,1450,45753,99322,5353,400
2020,Japan,Tesla,Model X,65.1,408,144,1862,74602,32694,200,720
2018,Netherlands,Mahindra,XUV EV,72.4,488,133,1742,34494,7793,1982,900
2021,Norway,Audi,Q4 e-tron,41.9,144,64,1456,60919,13328,393,630
2023,Norway,Audi,Q4 e-tron,58.9,345,126,1730,61248,14621,912,450
2019,Japan,Hyundai,Ioniq 6,56.1,801,146,1737,42882,29910,3348,810
2022,India,Renault,Zoe,82.5,449,193,1542,43223,3126,2086,600
2022,France,MG,MG5,79.1,431,173,1832,42443,21040,2621,540
